width, logGBF
5, 8.7175421957
10, 10.3894247508
15, 11.6204299328
20, 12.4643236196
25, 12.980897528
30, 13.2713999738
31, 13.3106112275
32, 13.3449174325
33, 13.3748079145
34, 13.4007245419
35, 13.4230641947
36, 13.4421832329
37, 13.4584020824
38, 13.4720064261
39, 13.4832530855
40, 13.4923721726
41, 13.4995698068
42, 13.5050302607
43, 13.508919611
44, 13.511386181
45, 13.5125641517
46, 13.5125734334
47, 13.5115224605 
48, 13.509508983
49, 13.5066207717
50, 13.5029375644
51, 13.4985316293
52, 13.4934678812
53, 13.4878052369
54, 13.4815978048
55, 13.4748938562
60, 13.4353507391
70, 13.3374739604
100, 13.0065001422
