width,xpt_3,xpt_4,taylor_2,taylor_4,linear_2,linear_4
tag,NNLO $\chi$PT,NNLO+ct $\chi$PT,NLO Taylor $\epsilon_\pi^2$,NNLO Taylor $\epsilon_\pi^2$,NLO Taylor $\epsilon_\pi$,NNLO Taylor $\epsilon_\pi$
0.5,22.7354356501,22.7304565535,24.8762677016,24.8869972878,24.8511393326,24.8504630204
1.0,22.7397982212,22.7347914876,24.8834027806,24.8939099784,24.8550286577,24.8529197485
1.5,22.7469880723,22.7419359062,24.8950838882,24.9052280148,24.8613800807,24.8569342874
5.0,22.8620757113,22.8563155622,25.0692215086,25.07410365,24.9532323211,24.915148212
6.0,22.9085947652,22.9025584546,25.1329741682,25.1359927298,24.9851269479,24.9352873324
7.0,22.9573519023,22.9510320276,25.1958073717,25.1970138542,25.0152594244,24.9541163189
8.0,23.00649215,22.9998922425,25.2550232817,25.2545363383,25.0420880154,24.9705291289
9.0,23.0544717173,23.0476035021,25.3088115206,25.3067866764,25.0646394465,24.9837872069
10.0,23.1000918015,23.0929725136,25.3561382521,25.3527453021,25.0824305854,24.9934842664
11.0,23.1424902444,23.1351403192,25.3965807609,25.3919884835,25.0953559015,24.9994879871
12.0,23.1811060614,23.1735472902,25.4301562717,25.4245230324,25.1035753171,25.0018672078
13.0,23.2156302748,23.2078844618,25.4571727873,25.4506418761,25.1074153905,25.0008288154
14.0,23.2459531513,23.2380412087,25.4781110157,25.4708087815,25.1072954797,24.9966624674
15.0,23.2721143604,23.2640557566,25.4935382466,25.4855745421,25.1036718636,24.9897000541
16.0,23.2942595582,23.2860720331,25.5040493208,25.4955187976,25.0970015854,24.9802850116
17.0,23.3126047213,23.3043041868,25.5102288872,25.5012121706,25.0877208704,24.9687541557
18.0,23.3274081794,23.3190087446,25.512628816,25.5031945861,25.0762316687,24.9554236651
19.0,23.3389495604,23.3304636319,25.5117555632,25.5019627384,25.062895387,24.9405840251
20.0,23.3475145392,23.3389529593,25.508066453,25.497964879,25.0480330192,24.924496514
21.0,23.3533842392,23.3447564439,25.5019688818,25.4916011131,25.031924638,24.9073922159
22.0,23.356828224,23.348142407,25.4938215361,25.4832242462,25.0148136039,24.8894738468
23.0,23.3581001889,23.3493634487,25.4839394682,25.473144013,24.9969089749,24.8709172697
24.0,23.3574355976,23.3486540822,25.4725969756,25.4616305132,24.9783895774,24.8518745149
25.0,23.3550507122,23.3462297462,25.4600330892,25.4489184921,24.9594078337,24.832475512
26.0,23.351142568,23.3422867654,25.4464548968,25.4352124092,24.9400927822,24.8128312582
27.0,23.3458895657,23.3370029287,25.432041371,25.4206887521,24.9205535479,24.7930354786
28.0,23.3394524646,23.3305384695,25.4169479701,25.4055004167,24.9008818218,24.7731679223
29.0,23.3319755752,23.3230372464,25.4013087164,25.3897795294,24.8811547097,24.7532952175
30.0,23.3235880682,23.3146280417,25.3852392894,25.3736400699,24.8614363195,24.7334731169
35.0,23.2716159239,23.262576756,25.3014869702,25.2896669453,24.7645503449,24.6364855677
40.0,23.2097090305,23.2006220127,25.2172487934,25.2053429005,24.6728379801,24.5450314713
