id, name, gA, +-, chi2dof, logGBF
0,preferred, 1.28516908895, 0.0168066242266, 0.43, 17.807 
-1,LO $\chi$PT, 1.23526118041, 0.00247053835404, 1.6, 24.903
-2,NLO $\chi$PT, 1.20456421498, 0.0110899946668, 3.9, -0.77553
-3,NNLO $\chi$PT, 1.28533576377, 0.0166009861797, 0.43, 17.815
-4,NNNLO $\chi$PT, 1.28516908895, 0.0168066242266, 0.43, 17.807
-5,N3LO X $<=$ 350, 1.2924414071704526, 0.02141427794741644, 0.44, 14.666
-6,N3LO X $<=$ 310, 1.2964396558523343, 0.02679589182278083, 0.48, 11.527
-7,N3LO X $>=$ 220, 1.276147115207146, 0.018478381880399117, 0.37, 14.42
-9,NLO Taylor, 1.2779338225, 0.0123331651508, 0.43, 21.514
-10,NNLO Taylor, 1.2864335578, 0.0148669569007, 0.33, 21.501
-11,NNLO T $<=$ 350, 1.2848212232180634, 0.015826513897789527, 0.35, 16.972
-12,NNLO T $<=$ 310, 1.2854205536414622, 0.016115596504727863, 0.38, 13.495
-13,NNLO T $>=$ 220, 1.2831686878972512, 0.015947414769885895, 0.34, 16.599
-15,NNLO Linear, 1.2879299461815148, 0.015595614161508915, 0.3659650618, 20.1200863305
-16,NNLO Linear $<=$ 350, 1.2879923475034487, 0.015613782461787832, 0.332076638906, 16.3577505178
-17,NNLO Linear $<=$ 310, 1.2896236421497618, 0.016882117317320578, 0.357609540212, 12.7209761573
-18,NNLO Linear $>=$ 220, 1.2831385340264614, 0.01659407369319898, 0.366094900445, 16.2689775011
-20,2xLO width, 1.28524702877, 0.0168106696767, 0.42, 17.137
-21,+2xNLO width, 1.28552008059, 0.0168243075156, 0.41, 15.834
-22,+2xNNLO width, 1.28608621699, 0.0168587756917, 0.39, 15.285
-23,$\mathrm{O}(10)$ NNNLOa, 1.2714637494, 0.0220977820394, 0.35, 18.029
-25,+$\mathrm{O}(\alpha_s a^2)$ disc., 1.28516730436, 0.0168109472875, 0.43, 17.807
-26,+$\mathrm{O}(a)$ disc., 1.28516729005, 0.0168096884172, 0.43, 17.807
-28,omit NLO FV, 1.2793721186, 0.016324387478, 0.41, 17.893
